Security,Mean_Return,Std_Return,Min_Return,Max_Return,Num_Periods,Block_ID,Cluster_ID,Start_Price_Avg,End_Price_Avg
CCWF,5785.833129122151,0.0,5785.833129122151,5785.833129122151,10,0,33,0.0006000000284983999,0.03531500045210117
HRBR,5739.394064134732,0.0,5739.394064134732,5739.394064134732,10,0,62,0.03299999926239248,1.9269999980926513
MOBQ,5606.060527974326,0.0,5606.060527974326,5606.060527974326,10,0,4,1.9800000190734863,112.97999954223633
SNTE,5552.084377493749,0.0,5552.084377493749,5552.084377493749,10,0,54,0.017030000686645463,0.9625500082969666
BISA,5505.999821884852,0.0,5505.999821884852,5505.999821884852,10,0,46,0.0010000000474973997,0.05606000088155266
DROR,5464.736716338301,0.0,5464.736716338301,5464.736716338301,10,0,48,0.0019000000320374,0.1057299993932247
NILA,5423.437698010134,0.0,5423.437698010134,5423.437698010134,10,0,6,0.0022399999201297197,0.12372500002384182
ETEK,5415.000130603411,0.0,5415.000130603411,5415.000130603411,10,0,13,9.999999747378752e-05,0.00551499999128279
BFYW,5412.694155721769,0.0,5412.694155721769,5412.694155721769,10,0,17,0.00386000005528327,0.2127899974584579
GMER,5410.652265163853,0.0,5410.652265163853,5410.652265163853,10,0,37,0.006224000081419901,0.3429830014705658
SRVTF,5399.999708961714,0.0,5399.999708961714,5399.999708961714,10,0,61,0.0020000000949949,0.10999999940395351
SNRY,5389.999886205219,0.0,5389.999886205219,5389.999886205219,10,0,57,0.00025000000459835,0.013724999967962458
MGUY,5361.922989473923,0.0,5361.922989473923,5361.922989473923,10,0,20,0.002600000007078,0.1420099981129169
HFGVF,5334.782624512853,0.0,5334.782624512853,5334.782624512853,10,0,9,4.599999883794226e-05,0.0024999999441206
ABIT,5252.500141095374,0.0,5252.500141095374,5252.500141095374,10,0,61,0.1599999964237213,8.564000034332276
CCAJ,5249.583282266509,0.0,5249.583282266509,5249.583282266509,10,0,57,0.00024000000266817997,0.012839000020176131
CBMDF,5150.000065483584,0.0,5150.000065483584,5150.000065483584,10,0,20,9.999999747378752e-05,0.005249999932857427
PLFF,5122.333301409719,0.0,5122.333301409719,5122.333301409719,10,0,37,0.003000000026077,0.15667000040411944
MPEG,5100.000145519154,0.0,5100.000145519154,5100.000145519154,10,0,57,9.999999747378752e-05,0.0052000000141561005
LDSN,5053.846342888112,0.0,5053.846342888112,5053.846342888112,10,0,61,0.1299999952316284,6.7
XCRT,4998.6237786646225,0.0,4998.6237786646225,4998.6237786646225,10,0,36,0.00109000001102682,0.055574999749660445
DRIO,4992.14626525796,0.0,4992.14626525796,4992.14626525796,10,0,61,0.25719999670982363,13.097000026702881
ZIVO,4958.536551149029,0.0,4958.536551149029,4958.536551149029,10,0,13,0.49200000166893004,24.88799991607666
ICNOF,4925.000205547668,0.0,4925.000205547668,4925.000205547668,10,0,4,0.0001999999949475,0.0100500001572072
KRFG,4905.882243475056,0.0,4905.882243475056,4905.882243475056,10,0,31,0.00034000001032832996,0.017020000144839228
KLGG,4900.000363797632,0.0,4900.000363797632,4900.000363797632,10,0,61,9.999999747378752e-06,0.0005000000237486998
