Security,Num_Blocks,Avg_Change_Per_Block,Max_Increase,Max_Decrease,Early_Cluster_Quality,Late_Cluster_Quality,Quality_Improvement,Final_Return
ACMLF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ACMNF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ACMR,10,0.3015836171406614,11.490070300678392,-8.3534732003855,0.5563730801296484,7.115979759833358,6.55960667970371,0.0
ACMT,10,0.8198453544168469,9.095231816129433,-5.892129975899609,3.6153907057659302,10.278843739209593,6.663453033443663,15.53273484046522
ACMTA,10,1.2653249705679375,6.923639020825723,-9.224018931177282,4.6930355549891685,10.158587524316424,5.465551969327255,6.068397109393307
ACN,10,0.1725327812284332,14.429745697405599,-11.014781385320934,10.537145998730274,13.507658382501937,2.9705123837716627,75.62393036739982
ACNB,10,-0.6458864489952574,8.273809523809524,-10.326086956521738,12.550034506556244,5.028832163334929,-7.521202343221315,-17.463842354350234
ACNDF,10,0.05235617280727705,7.120801733477791,-8.383905813812357,7.33420801736527,11.96033600255018,4.62612798518491,-10.75455367089766
ACNE,10,-0.07382798080472498,4.573578595317726,-6.859903381642512,5.015530325245604,4.9414422448130315,-0.07408808043257231,73.3333407839149
ACNFF,10,0.43624334883114596,17.33470424579654,-15.674418604651162,6.362310567226555,8.222642839911671,1.860332272685116,2.6745354215386103
ACNI,10,-0.48148148148148145,11.306535231712033,-11.774647887323944,6.9901533578174275,9.155651859877212,2.1654985020597843,-50.98038935949404
ACNT,10,0.41728420203117267,4.856146469049695,-4.90924512298558,4.309954164608201,8.14527172376492,3.835317559156718,-29.019838821697675
ACNV,10,1.2603411038751924,12.9034222384606,-13.043478260869563,4.332960195263182,8.416439084762752,4.0834788894995695,0.0
ACOGF,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ACON,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
ACONW,10,-0.00764323500871701,0.24365980672725185,-0.11109000878821856,0.5563730801296484,0.4177926418194386,-0.13858043831020977,0.0
