Security,Mean_Return,Std_Return,Min_Return,Max_Return,Num_Periods,Block_ID,Cluster_ID,Start_Price_Avg,End_Price_Avg,Unique_Clusters,Stability_Score
BCCB,0.0,0.0,0.0,0.0,10,0,61,10.0,10.0,10,0.1
TOUBF,0.0,0.0,0.0,0.0,10,0,61,0.0900000035762786,0.0900000035762786,10,0.1
KOBNF,0.0,0.0,0.0,0.0,10,0,61,21.959999084472656,21.959999084472656,10,0.1
KOGL,0.0,0.0,0.0,0.0,10,0,31,61.0,61.0,8,0.125
KONEF,0.0,0.0,0.0,0.0,10,0,61,0.0250000003725289,0.0250000003725289,10,0.1
KONMY,0.0,0.0,0.0,0.0,10,0,61,39.65999984741211,39.65999984741211,10,0.1
KNF,0.0,0.0,0.0,0.0,10,0,61,36.88999938964844,36.88999938964844,10,0.1
KPGHF,0.0,0.0,0.0,0.0,10,0,61,3.619999885559082,3.619999885559082,10,0.1
KPLTW,0.0,0.0,0.0,0.0,10,0,61,0.0083999997004866,0.0083999997004866,10,0.1
KRKKF,0.0,0.0,0.0,0.0,10,0,61,66.43496704101562,66.43496704101562,10,0.1
GFS,0.0,0.0,0.0,0.0,10,0,61,46.400001525878906,46.400001525878906,10,0.1
GFCOF,0.0,0.0,0.0,0.0,10,0,61,0.5019999742507935,0.5019999742507935,10,0.1
GFELF,0.0,0.0,0.0,0.0,10,0,61,8.386799812316895,8.386799812316895,10,0.1
GGAMF,0.0,0.0,0.0,0.0,10,0,61,0.4699999988079071,0.4699999988079071,10,0.1
GGAUF,0.0,0.0,0.0,0.0,10,0,61,10.050000190734863,10.050000190734863,10,0.1
GFLT,0.0,0.0,0.0,0.0,10,0,61,225.0,225.0,10,0.1
SVRE,0.0,0.0,0.0,0.0,10,0,61,46.08000183105469,46.08000183105469,10,0.1
PTNRF,0.0,0.0,0.0,0.0,10,0,61,4.6234002113342285,4.6234002113342285,10,0.1
PTIXW,0.0,0.0,0.0,0.0,10,0,61,0.0089999996125697,0.0089999996125697,10,0.1
PTLE,0.0,0.0,0.0,0.0,10,0,61,4.070000171661377,4.070000171661377,10,0.1
PTLO,0.0,0.0,0.0,0.0,10,0,61,29.100000381469727,29.100000381469727,10,0.1
PTMYF,0.0,0.0,0.0,0.0,10,0,61,0.1400000005960464,0.1400000005960464,10,0.1
GIVPY,0.0,0.0,0.0,0.0,10,0,61,6.570000171661377,6.570000171661377,10,0.1
GIVXF,0.0,0.0,0.0,0.0,10,0,61,0.5228999853134155,0.5228999853134155,10,0.1
KRLCF,0.0,0.0,0.0,0.0,10,0,61,1.0,1.0,10,0.1
KNTTF,0.0,0.0,0.0,0.0,10,0,61,22.64139938354492,22.64139938354492,10,0.1
SVMB,0.0,0.0,0.0,0.0,10,0,61,150.0,150.0,10,0.1
SVMHW,0.0,0.0,0.0,0.0,10,0,61,0.0098999999463558,0.0098999999463558,10,0.1
SVMLF,0.0,0.0,0.0,0.0,10,0,61,0.3797860145568847,0.3797860145568847,10,0.1
SVIIR,0.0,0.0,0.0,0.0,10,0,61,0.0524999983608722,0.0524999983608722,10,0.1
SVIIW,0.0,0.0,0.0,0.0,10,0,61,0.0199999995529651,0.0199999995529651,10,0.1
PUIGF,0.0,0.0,0.0,0.0,10,0,61,29.0,29.0,10,0.1
BCBCF,0.0,0.0,0.0,0.0,10,0,61,0.0961000025272369,0.0961000025272369,10,0.1
BCBNF,0.0,0.0,0.0,0.0,10,0,61,0.5178999900817871,0.5178999900817871,10,0.1
BDCC,0.0,0.0,0.0,0.0,10,0,61,262.5,262.5,10,0.1
APPIF,0.0,0.0,0.0,0.0,10,0,61,15.0600004196167,15.0600004196167,10,0.1
APPTF,0.0,0.0,0.0,0.0,10,0,61,8.920000076293945,8.920000076293945,10,0.1
APPZ,0.0,0.0,0.0,0.0,10,0,18,9.999999747378752e-05,9.999999747378752e-05,10,0.1
APCFF,0.0,0.0,0.0,0.0,10,0,20,0.0099999997764825,0.0099999997764825,10,0.1
APCXW,0.0,0.0,0.0,0.0,10,0,61,0.2409999966621399,0.2409999966621399,10,0.1
APLM,0.0,0.0,0.0,0.0,10,0,61,9.899999618530272,9.899999618530272,10,0.1
APLMW,0.0,0.0,0.0,0.0,10,0,61,0.1202000007033347,0.1202000007033347,10,0.1
APGE,0.0,0.0,0.0,0.0,10,0,61,21.229999542236328,21.229999542236328,10,0.1
SBBCF,0.0,0.0,0.0,0.0,10,0,61,0.2067999988794326,0.2067999988794326,10,0.1
KTHGF,0.0,0.0,0.0,0.0,10,0,53,0.0500000007450579,0.0500000007450579,10,0.1
BCGWW,0.0,0.0,0.0,0.0,10,0,61,0.0306000001728534,0.0306000001728534,10,0.1
GDTC,0.0,0.0,0.0,0.0,10,0,61,4.0,4.0,10,0.1
GDTRF,0.0,0.0,0.0,0.0,10,0,61,0.25,0.25,10,0.1
GDST,0.0,0.0,0.0,0.0,10,0,61,9.880000114440918,9.880000114440918,10,0.1
GDSTR,0.0,0.0,0.0,0.0,10,0,61,0.2275000065565108,0.2275000065565108,10,0.1
GCT,0.0,0.0,0.0,0.0,10,0,61,15.6899995803833,15.6899995803833,10,0.1
GCHHF,0.0,0.0,0.0,0.0,10,0,61,8.4399995803833,8.4399995803833,10,0.1
GCMGW,0.0,0.0,0.0,0.0,10,0,61,1.0,1.0,10,0.1
GEGCF,0.0,0.0,0.0,0.0,10,0,61,0.3219000101089477,0.3219000101089477,10,0.1
GECCH,0.0,0.0,0.0,0.0,10,0,61,24.89999961853028,24.89999961853028,10,0.1
GEHC,0.0,0.0,0.0,0.0,10,0,61,60.0,60.0,10,0.1
GEHDF,0.0,0.0,0.0,0.0,10,0,53,15.170000076293942,15.170000076293942,10,0.1
GELEF,0.0,0.0,0.0,0.0,10,0,61,0.6276000142097473,0.6276000142097473,10,0.1
KSCP,0.0,0.0,0.0,0.0,10,0,61,295.5,295.5,10,0.1
KRSOF,0.0,0.0,0.0,0.0,10,0,61,0.4499999880790709,0.4499999880790709,10,0.1
GDSTW,0.0,0.0,0.0,0.0,10,0,61,0.0320000015199184,0.0320000015199184,10,0.1
BCHMY,0.0,0.0,0.0,0.0,10,0,61,8.399999618530273,8.399999618530273,10,0.1
GEMSF,0.0,0.0,0.0,0.0,10,0,61,0.4325999915599823,0.4325999915599823,10,0.1
PLQC,0.0,0.0,0.0,0.0,10,0,61,40.400001525878906,40.400001525878906,10,0.1
PLSH,0.0,0.0,0.0,0.0,10,0,61,0.4499999880790709,0.4499999880790709,10,0.1
PLTY,0.0,0.0,0.0,0.0,10,0,61,51.428001403808594,51.428001403808594,10,0.1
PLAOU,0.0,0.0,0.0,0.0,10,0,61,10.039999961853027,10.039999961853027,10,0.1
PLAOW,0.0,0.0,0.0,0.0,10,0,61,0.0322999991476535,0.0322999991476535,10,0.1
PLAZF,0.0,0.0,0.0,0.0,10,0,61,7.190999984741211,7.190999984741211,10,0.1
PKST,0.0,0.0,0.0,0.0,10,0,61,18.0,18.0,10,0.1
PLDIF,0.0,0.0,0.0,0.0,10,0,61,17.25,17.25,10,0.1
PLAO,0.0,0.0,0.0,0.0,10,0,61,10.050000190734863,10.050000190734863,10,0.1
KTITF,0.0,0.0,0.0,0.0,10,0,61,17.5,17.5,10,0.1
KSTOF,0.0,0.0,0.0,0.0,10,0,61,3.240000009536743,3.240000009536743,10,0.1
KRMKF,0.0,0.0,0.0,0.0,10,0,61,0.0640999972820282,0.0640999972820282,10,0.1
BCAX,0.0,0.0,0.0,0.0,10,0,61,23.40999984741211,23.40999984741211,10,0.1
KRNGY,0.0,0.0,0.0,0.0,10,0,61,1.4500000476837158,1.4500000476837158,10,0.1
GDERF,0.0,0.0,0.0,0.0,10,0,61,76.5459976196289,76.5459976196289,10,0.1
GDEVW,0.0,0.0,0.0,0.0,10,0,61,0.0500000007450579,0.0500000007450579,10,0.1
GDHG,0.0,0.0,0.0,0.0,10,0,61,200.5,200.5,10,0.1
GDIGF,0.0,0.0,0.0,0.0,10,0,61,0.25,0.25,10,0.1
GDRPF,0.0,0.0,0.0,0.0,10,0,61,1.590000033378601,1.590000033378601,10,0.1
