security,block,model_proba,position_size,final_value,pnl,return_pct,binding_constraint,capital_cap,volume_cap,security_limit,days_held
IDGC,8,0.6072413650181336,281.2641819417197,102.57869218223567,-178.68548975948403,-63.529415130615234,volume,49654169.53661952,312.51575771302186,49654169.53661952,500
MMMM,9,0.6071883348420368,62415.1430178993,54.76182134291594,-62360.38119655639,-99.91226196289062,volume,49649977.21471301,69350.158908777,49649977.21471301,500
RNGG,9,0.6070108605406243,91.19690008944296,0.11220797788563175,-91.08469211155733,-99.87696075439452,volume,49645784.160918795,101.32988898826997,49645784.160918795,500
GWHP,11,0.6064445711234567,92976.71553878224,92976.71553878224,0.0,0.0,volume,49628998.0776594,103307.46170975803,49628998.0776594,500
EMOR,8,0.6064307609502378,282.52221140282427,111.54335663178634,-170.97885477103793,-60.51873016357422,volume,49624798.09160572,313.9135682253603,49624798.09160572,500
OMHE,9,0.605466573496204,360.0658672129928,72.01317344259854,-288.0526937703943,-80.0,volume,49586997.99530339,400.0731857922143,49586997.99530339,500
ABQQ,8,0.6054600093084969,44624519.45157543,2358444.9376015887,-42266074.51397384,-94.71491241455078,capital,49582799.390639365,70034592.56468752,49582799.390639365,500
BLKCF,10,0.6046119943235603,2767.778157892329,2767.77835927472,0.00020138239096922916,7.275958523678128e-06,volume,49565976.86239733,3075.30906432481,49565976.86239733,500
PAOG,9,0.6041492267883517,1169.3611878640638,937.9250599558488,-231.43612790821498,-19.791671752929688,volume,49540701.07873986,1299.2902087378488,49540701.07873986,500
DDDX,9,0.6033424804555757,244.73356174755463,87.73470020610546,-156.99886154144917,-64.15093231201172,volume,49490121.48065123,271.92617971950517,49490121.48065123,500
FWFW,10,0.6032681645108763,256.6640137772079,110.34678603610851,-146.3172277410994,-57.007301330566406,volume,49481696.1958022,285.182237530231,49481696.1958022,500
PCLI,9,0.6031324469136784,157.07234552058898,80.88756034487915,-76.18478517570983,-48.50299072265625,volume,49456420.27483201,174.52482835620998,49456420.27483201,500
RGTLF,10,0.6025527993833548,2359.979925154089,144.0700116708008,-2215.909913483288,-93.8952865600586,volume,49431142.56353937,2622.199916837877,49431142.56353937,500
CNBX,9,0.602532583817467,119166.31116161095,315.7536305727408,-118850.55753103821,-99.73503112792967,volume,49422717.404210776,132407.01240178992,49422717.404210776,500
GPFT,8,0.6021225322581368,2746.0611487187093,171.69774987398478,-2574.3633988447245,-93.74748992919922,volume,49405861.66342341,3051.1790541318996,49405861.66342341,500
SGDH,9,0.6018499038913117,307.2645858302866,237.73757503652956,-69.52701079375703,-22.62773323059082,volume,49397429.73577713,341.4050953669851,49397429.73577713,500
SNST,9,0.6017500937646236,181.94123118617364,29.087623911051423,-152.85360727512222,-84.01262664794922,volume,49388995.04452776,202.15692354019288,49388995.04452776,500
EESE,8,0.6017133655468773,108.8704035945976,154.44405772602175,45.57365413142415,41.8604621887207,volume,49380557.66103702,120.96711510510846,49380557.66103702,500
DTST,8,0.6013928664287538,9863.2614337825,9888.005061594615,24.743627812114937,0.2508665919303894,volume,49372116.17189089,10959.179370869446,49372116.17189089,500
EDXC,9,0.6008016188314,1618.062291811023,243.6853264742183,-1374.3769653368047,-84.93968200683594,volume,49346779.70692429,1797.8469909011365,49346779.70692429,500
IMTL,8,0.6004556552353846,12593.063396379006,3448.101469635505,-9144.961926743501,-72.6190414428711,volume,49329904.10017507,13992.29266264334,49329904.10017507,500
UAHC,8,0.5994429693961171,135.01229645321013,143.3889659818007,8.376669528590583,6.204375267028809,volume,49313028.588024944,150.013662725789,49313028.588024944,500
ETST,9,0.599390351218875,1832.736992334118,22132.581154763797,20299.84416242968,1107.62451171875,volume,49304590.50357725,2036.3744359267976,49304590.50357725,500
ATMH,9,0.5991993912678698,142.9427139237139,49.86506714534785,-93.07764677836606,-65.11534881591797,volume,49296152.35638094,158.82523769301545,49296152.35638094,500
CALA,10,0.599150174244745,173802.0959696457,5693.519680394791,-168108.57628925092,-96.72413635253906,volume,49287714.45782604,193113.439966273,49287714.45782604,500
NSAV,8,0.5991091588174431,5748.169220843479,405.658342967361,-5342.510877876118,-92.9428253173828,volume,49270831.9508535,6386.854689826087,49270831.9508535,500
RGXTF,9,0.5987523679884459,339.3687704755337,117.1660892973027,-222.20268117823102,-65.47528839111328,volume,49228567.0210792,377.0764116394819,49228567.0210792,500
IFMK,9,0.5986036051495719,37578.76525404338,277.5373239812616,-37301.227930062116,-99.2614517211914,volume,49211632.828201964,41754.18361560374,49211632.828201964,500
HUML,10,0.5985808329253747,622.7980228308695,590.3042236609019,-32.49379916996759,-5.217389583587647,volume,49203193.15048108,691.9978031454107,49203193.15048108,500
BYSI,9,0.5985724969399979,176939.89861969775,428139.88191572553,251199.98329602779,141.96910095214844,volume,49194720.72832685,196599.88735521975,49194720.72832685,500
BDPT,9,0.5983888053403096,42053.12800619112,12892.200810312315,-29160.9271958788,-69.34306335449219,volume,49169375.82927067,46725.69778465679,49169375.82927067,500
VYBE,8,0.5975907243850462,274.07509288844227,2.4742913563840148,-271.60080153205826,-99.09722137451172,volume,49110321.428890735,304.5278809871581,49110321.428890735,500
RJDG,9,0.5971481696443943,332.7359372407516,799.3786437460578,466.64270650530625,140.24415588378906,volume,49085038.644819655,369.7065969341684,49085038.644819655,500
PUGE,11,0.5970409104479878,4719.424179402953,4719.424179402953,0.0,0.0,volume,49076600.04201432,5243.804643781059,49076600.04201432,500
FORW,9,0.596472774664231,2608.113574815597,946.0557307137794,-1662.0578441018176,-63.72643661499024,volume,49051293.208937794,2897.903972017331,49051293.208937794,500
AMIH,8,0.5961385518506868,1715522.7216570622,743.9446372909006,-1714778.7770197713,-99.95663452148438,volume,49017558.70736609,1906136.3573967353,49017558.70736609,500
ABQQ,9,0.5958099365173298,9187927.704627305,3808813.1887023738,-5379114.5159249315,-58.54545974731445,security_limit,49000609.72934404,70034592.56468752,49000609.72934404,500
CSKL,11,0.5956582444624916,93.211771912838,90.58776047477345,-2.6240114380645565,-2.8151073455810547,volume,48983268.117684186,103.56863545870888,48983268.117684186,500
BTDG,8,0.5954471532394643,2858.9621591464233,104.72384147361026,-2754.238317672813,-96.33699798583984,volume,48974361.315406784,3176.6246212738038,48974361.315406784,500
UNAM,8,0.5952918601817727,2171.5492657483746,6.866444345012042,-2164.6828214033626,-99.68379974365234,volume,48946693.83769392,2412.832517498194,48946693.83769392,500
SNMN,9,0.5949962033903893,480.3367068884247,88.13518196382898,-392.20152492459573,-81.65137481689453,volume,48937121.650536984,533.7074520982496,48937121.650536984,500
