Security,Block,Winner,Future_Return,Event_Type,Avg_Price,Median_Price,Avg_Volume,Median_Volume,Price_Volatility
SBYSF,28,False,-14.609054,DROP,3.379365,3.019,1088.5,350.0,0.18847056
SBYSF,29,False,-41.68421,DROP,3.7865648,3.85,715.5,100.0,0.20846483
SBYSF,30,False,-42.816902,DROP,4.1392903,4.29,550.0,100.0,0.16023073
SBYSF,27,False,-22.077919,ACQ,3.064375,3.019,1532.5,2300.0,0.099616915
SCABY,32,False,-18.015823,DROP,17.196049,16.81,44.5,0.0,0.043134328
SCABY,36,False,-3.8604338,DROP,17.3964,16.43,7.425,0.0,0.080607474
SCABY,37,False,-3.8604338,DROP,16.6564,16.43,8.925,0.0,0.13498183
SCABY,30,True,3.0786116,ACQ,16.8997,16.81,92.5,100.0,0.020181403
SCABY,31,False,-25.948324,ACQ,17.2447,16.81,67.5,100.0,0.037266
SCABY,35,False,-31.786669,ACQ,17.512148,16.43,5.925,0.0,0.06690153
SCAL,6,False,-99.00001,DROP,0.00032860003,1e-04,261.48,0.0,1.2822577
SCAL,8,True,900.0,DROP,0.0005050001,1e-04,151.0,0.0,0.94625014
SCAL,14,False,-50.0,DROP,6.825e-05,1e-05,571.645,0.0,1.1846516
SCAL,16,False,-50.0,DROP,0.00016324999,0.0002,891.645,0.0,0.4102013
SCAL,17,False,-50.0,DROP,0.00019949996,0.0002,1345.0,0.0,0.035443954
SCAL,19,True,1100.0001,DROP,0.0009664999,0.0002,1848.575,0.0,2.7353582
SCAL,26,True,1766.6666,DROP,0.00168,0.0012,5683.615,0.0,1.4964232
SCAL,27,True,322.22223,DROP,0.0031465,0.0024,6870.56,0.0,1.0291054
SCAL,29,False,-7.3529468,DROP,0.016289,0.00995,12204.49,300.0,0.918534
SCAL,30,True,2.4793425,DROP,0.020119,0.0188,13474.835,1150.0,0.663717
SCAL,31,False,-88.16964,DROP,0.023432,0.02,14527.465,1150.0,0.54390496
SCAL,35,False,-95.96774,DROP,0.01539,0.0174,5553.15,0.0,0.47700012
SCAL,5,False,-99.00001,ACQ,8.515e-05,1e-04,393.98,0.0,1.9646493
