Security,Block_ID,Cluster_ID,Total_Blocks_Appeared,Unique_Clusters,Cluster_Changes,Stability_Score,Percent_Return
TICJ,9,35,10,10,9,0.0,199900.00803265735
TNMD,0,61,10,10,9,0.0,98255.00369585963
TNMD,1,3,10,10,9,0.0,98255.00369585963
TNMD,2,46,10,10,9,0.0,98255.00369585963
TNMD,3,50,10,10,9,0.0,98255.00369585963
TNMD,4,13,10,10,9,0.0,98255.00369585963
TNMD,5,42,10,10,9,0.0,98255.00369585963
TNMD,6,45,10,10,9,0.0,98255.00369585963
TNMD,7,68,10,10,9,0.0,98255.00369585963
TNMD,8,38,10,10,9,0.0,98255.00369585963
TNMD,9,35,10,10,9,0.0,98255.00369585963
TRYXF,0,61,10,10,9,0.0,5890.999838765092
TRYXF,1,3,10,10,9,0.0,5890.999838765092
TRYXF,2,52,10,10,9,0.0,5890.999838765092
TRYXF,3,1,10,10,9,0.0,5890.999838765092
TRYXF,4,25,10,10,9,0.0,5890.999838765092
TRYXF,5,57,10,10,9,0.0,5890.999838765092
TRYXF,6,17,10,10,9,0.0,5890.999838765092
TRYXF,7,9,10,10,9,0.0,5890.999838765092
TRYXF,8,18,10,10,9,0.0,5890.999838765092
TRYXF,9,7,10,10,9,0.0,5890.999838765092
USLQ,0,61,10,10,9,0.0,89899.99839928918
USLQ,1,33,10,10,9,0.0,89899.99839928918
USLQ,2,46,10,10,9,0.0,89899.99839928918
USLQ,3,50,10,10,9,0.0,89899.99839928918
USLQ,4,13,10,10,9,0.0,89899.99839928918
USLQ,5,5,10,10,9,0.0,89899.99839928918
USLQ,6,45,10,10,9,0.0,89899.99839928918
USLQ,7,68,10,10,9,0.0,89899.99839928918
USLQ,8,39,10,10,9,0.0,89899.99839928918
USLQ,9,35,10,10,9,0.0,89899.99839928918
VMNT,0,61,10,9,9,0.0,5887.450107651598
VMNT,1,3,10,9,9,0.0,5887.450107651598
VMNT,2,43,10,9,9,0.0,5887.450107651598
VMNT,3,22,10,9,9,0.0,5887.450107651598
VMNT,4,25,10,9,9,0.0,5887.450107651598
VMNT,5,48,10,9,9,0.0,5887.450107651598
VMNT,6,3,10,9,9,0.0,5887.450107651598
VMNT,7,5,10,9,9,0.0,5887.450107651598
VMNT,8,50,10,9,9,0.0,5887.450107651598
VMNT,9,19,10,9,9,0.0,5887.450107651598
VPSN,0,61,10,10,9,0.0,10900.000218278381
VPSN,1,3,10,10,9,0.0,10900.000218278381
VPSN,2,46,10,10,9,0.0,10900.000218278381
VPSN,3,50,10,10,9,0.0,10900.000218278381
VPSN,4,13,10,10,9,0.0,10900.000218278381
VPSN,5,42,10,10,9,0.0,10900.000218278381
VPSN,6,45,10,10,9,0.0,10900.000218278381
VPSN,7,68,10,10,9,0.0,10900.000218278381
VPSN,8,29,10,10,9,0.0,10900.000218278381
VPSN,9,0,10,10,9,0.0,10900.000218278381
VTON,0,61,10,10,9,0.0,10900.000218278381
VTON,1,3,10,10,9,0.0,10900.000218278381
VTON,2,46,10,10,9,0.0,10900.000218278381
VTON,3,52,10,10,9,0.0,10900.000218278381
VTON,4,13,10,10,9,0.0,10900.000218278381
VTON,5,42,10,10,9,0.0,10900.000218278381
