Security,Block_ID,Cluster_ID,Cluster_Size,Num_Top_Performers_During,Pct_Top_Performers_During,Num_Top_Performers_After,Pct_Top_Performers_After,Stock_Return_During,Stock_Return_After
AAM,1,3,8267,55,0.6652957542034595,80,0.967702915205032,,
AAM,2,46,8073,47,0.5821875387092779,67,0.8299269168834386,,
AAM,3,50,7854,37,0.4710975299210593,78,0.9931245225362872,,
AAM,4,13,7711,37,0.4798340033718065,78,1.0115419530540786,,
AAM,5,42,7466,30,0.4018215912135012,60,0.8036431824270024,,
AAM,6,45,7073,32,0.4524247136999859,77,1.088646967340591,,
AAM,7,68,6777,34,0.5016969160395455,93,1.3722886232846392,,
AAM,8,38,6519,26,0.3988341770210155,87,1.3345605154164748,,
AAM,9,35,6235,22,0.3528468323977546,90,1.4434643143544506,,
AAMAF,0,15,325,9,2.769230769230769,24,7.384615384615385,-87.51465998464887,-70.30901314426188
AAMAF,1,45,384,13,3.3854166666666665,24,6.25,-87.51465998464887,-70.30901314426188
AAMAF,2,19,624,27,4.326923076923077,10,1.6025641025641024,-87.51465998464887,-70.30901314426188
AAMAF,3,33,271,10,3.6900369003690034,21,7.7490774907749085,-87.51465998464887,-70.30901314426188
AAMAF,4,34,132,12,9.090909090909092,13,9.848484848484848,-87.51465998464887,-70.30901314426188
AAMAF,5,6,90,7,7.777777777777778,1,1.1111111111111112,-87.51465998464887,-70.30901314426188
AAMAF,6,18,124,3,2.4193548387096775,2,1.6129032258064515,-87.51465998464887,-70.30901314426188
AAMAF,7,8,381,15,3.937007874015748,32,8.398950131233596,-87.51465998464887,-70.30901314426188
AAMAF,8,57,285,10,3.508771929824561,19,6.666666666666667,-87.51465998464887,-70.30901314426188
AAMAF,9,18,309,6,1.9417475728155338,18,5.825242718446602,-87.51465998464887,-70.30901314426188
AAMCF,0,61,8301,35,0.4216359474762077,43,0.5180098783279123,,
AAMCF,1,3,8267,55,0.6652957542034595,80,0.967702915205032,,
AAMCF,2,46,8073,47,0.5821875387092779,67,0.8299269168834386,,
AAMCF,3,50,7854,37,0.4710975299210593,78,0.9931245225362872,,
AAMCF,4,13,7711,37,0.4798340033718065,78,1.0115419530540786,,
AAMCF,5,42,7466,30,0.4018215912135012,60,0.8036431824270024,,
AAMCF,6,45,7073,32,0.4524247136999859,77,1.088646967340591,,
AAMCF,7,68,6777,34,0.5016969160395455,93,1.3722886232846392,,
AAMCF,8,38,6519,26,0.3988341770210155,87,1.3345605154164748,,
AAMCF,9,35,6235,22,0.3528468323977546,90,1.4434643143544506,,
AAME,0,29,154,24,15.584415584415584,12,7.792207792207792,-33.94351489739547,80.30954255193019
AAME,1,18,128,19,14.84375,14,10.9375,-33.94351489739547,80.30954255193019
AAME,2,2,140,15,10.714285714285714,1,0.7142857142857143,-33.94351489739547,80.30954255193019
AAME,3,62,184,9,4.891304347826087,17,9.239130434782608,-33.94351489739547,80.30954255193019
AAME,4,23,98,6,6.122448979591836,7,7.142857142857142,-33.94351489739547,80.30954255193019
AAME,5,47,289,14,4.844290657439446,21,7.26643598615917,-33.94351489739547,80.30954255193019
AAME,6,33,120,10,8.333333333333332,25,20.833333333333336,-33.94351489739547,80.30954255193019
AAME,7,14,99,9,9.090909090909092,7,7.07070707070707,-33.94351489739547,80.30954255193019
AAME,8,51,200,7,3.5000000000000004,15,7.5,-33.94351489739547,80.30954255193019
AAME,9,68,73,1,1.36986301369863,10,13.698630136986301,-33.94351489739547,80.30954255193019
AAMMF,0,61,8301,35,0.4216359474762077,43,0.5180098783279123,,
AAMMF,1,3,8267,55,0.6652957542034595,80,0.967702915205032,,
AAMMF,2,46,8073,47,0.5821875387092779,67,0.8299269168834386,,
AAMMF,3,50,7854,37,0.4710975299210593,78,0.9931245225362872,,
AAMMF,4,13,7711,37,0.4798340033718065,78,1.0115419530540786,,
AAMMF,5,42,7466,30,0.4018215912135012,60,0.8036431824270024,,
AAMMF,6,45,7073,32,0.4524247136999859,77,1.088646967340591,,
AAMMF,7,27,72,5,6.944444444444445,5,6.944444444444445,,
AAMMF,8,54,122,9,7.377049180327869,9,7.377049180327869,,
AAMMF,9,52,111,9,8.108108108108109,8,7.207207207207207,,
AAMTF,0,37,215,26,12.093023255813954,22,10.232558139534884,149.4096798058421,28.86363608654866
AAMTF,1,44,368,12,3.260869565217391,29,7.880434782608696,149.4096798058421,28.86363608654866
AAMTF,2,6,106,2,1.8867924528301887,6,5.660377358490567,149.4096798058421,28.86363608654866
AAMTF,3,43,175,13,7.428571428571429,17,9.714285714285714,149.4096798058421,28.86363608654866
AAMTF,4,47,103,11,10.679611650485436,9,8.737864077669903,149.4096798058421,28.86363608654866
AAMTF,5,17,478,61,12.761506276150628,4,0.8368200836820083,149.4096798058421,28.86363608654866
AAMTF,6,8,281,24,8.540925266903916,20,7.11743772241993,149.4096798058421,28.86363608654866
AAMTF,7,51,111,39,35.13513513513514,3,2.7027027027027026,149.4096798058421,28.86363608654866
AAMTF,8,53,147,14,9.523809523809524,21,14.285714285714285,149.4096798058421,28.86363608654866
