Security,Block_ID,Cluster_ID,Forward_Periods,Start_Price_Avg,End_Price_Avg,Percent_Return,Initial_Prices_Count,End_Prices_Count
LAND,0,34,500,11.878000068664551,22.86500015258789,92.49873733296425,10,10
LCNB,0,34,500,17.85099983215332,17.54699993133545,-1.7029852875260507,10,10
LGRVF,0,34,500,70.0999984741211,116.5,66.19115910966596,10,10
LNG,0,34,500,63.25099906921387,98.83000030517579,56.25049684516251,10,10
LNXSF,0,34,500,66.51000213623047,68.07100143432618,2.3470143556729406,10,10
LTOUF,0,34,500,20.222000122070312,22.969999694824217,13.589158125633356,10,10
LTRPA,0,34,500,9.333000183105469,3.347000002861023,-64.13800560167417,10,10
LTRPB,0,34,500,9.26690034866333,29.24000015258789,215.53161307929142,10,10
LXU,0,34,500,3.9561537981033323,8.89153847694397,124.75209333890835,10,10
LYB,0,34,500,88.53099975585937,96.10599975585937,8.556324926736925,10,10
MATV,0,34,500,39.0060001373291,35.36599960327148,-9.331898993083646,10,10
MAYNF,0,34,500,7.581999921798706,4.313999938964844,-43.10208410103205,10,10
MCBK,0,34,500,26.655000114440917,33.0,23.804163790348454,10,10
MCD,0,34,500,200.7010025024414,245.16200103759766,22.15285323979157,10,10
MCEM,0,34,500,59.670999908447264,111.80100021362304,87.3623709761164,10,10
MCQEF,0,34,500,84.59000167846679,128.03000183105468,51.35358705595813,10,10
MEI,0,34,500,33.886000061035155,42.90300025939941,26.609809898255676,10,10
MERC,0,34,500,11.843000030517578,11.703999996185303,-1.17368938591652,10,10
MFDB,0,34,500,3.549999952316284,3.5,-1.4084493799404276,10,10
MINOF,0,34,500,1.1399999856948853,1.0598000288009644,-7.035084026341908,10,10
MLM,0,34,500,267.02699279785156,353.57799377441404,32.412828407233164,10,10
MODV,0,34,500,62.25299911499023,179.33500061035156,188.07447538245356,10,10
MORN,0,34,500,153.6959991455078,265.4719985961914,72.7253800177729,10,10
MPC,0,34,500,65.76099967956543,63.06900062561035,-4.093610296486401,10,10
MPU,0,34,500,1.1544000029563903,11.598600101470947,904.7297359465709,10,10
MQBKY,0,34,500,91.86899871826172,130.33699951171874,41.87266796215811,10,10
MSBHF,0,34,500,8.197333383560181,10.488666534423828,27.95217717335901,10,10
MSN,0,34,500,0.8850000023841857,1.1149999976158143,25.988699956159277,10,10
MTCH,0,34,500,73.61200103759765,157.1059997558594,113.42443832713747,10,10
MTH,0,34,500,74.33700027465821,98.47999877929688,32.477768023239854,10,10
MTRJF,0,34,500,5.581049919128418,5.550000190734863,-0.556342065444268,10,10
MTRN,0,34,500,60.011000061035155,69.80699996948242,16.323673823939085,10,10
NKRKY,0,34,500,15.309000015258789,17.87100009918213,16.735254303806542,10,10
NPO,0,34,500,69.39400024414063,88.27600021362305,27.20984509186981,10,10
NPPXF,0,34,500,1.957040011882782,1.1278000116348266,-42.37215362041475,10,10
NPSKY,0,34,500,18.475000381469727,13.7,-25.845739014214114,10,10
NRDBY,0,34,500,7.309999895095825,12.550000095367432,71.68263030738274,10,10
NRILY,0,34,500,20.894000244140624,36.871999740600586,76.4717110642359,10,10
NSANF,0,34,500,6.323999977111816,4.976000022888184,-21.31562237669815,10,10
NSANY,0,34,500,12.580000019073486,9.948000049591064,-20.92209829484776,10,10
NSARO,0,34,500,102.98000030517578,104.18500061035157,1.1701304152309502,10,10
NSFDF,0,34,500,0.29800000190734866,0.5319999992847443,78.52348855022782,10,10
NSHSF,0,34,500,0.8360000014305115,0.2533400047570467,-69.69617173163313,10,10
NTCT,0,34,500,22.129999732971193,27.184999847412108,22.842296319188552,10,10
NTCXF,0,34,500,0.01727999988943332,0.014644999708980283,-15.248843734451253,10,10
NTTYY,0,34,500,24.56200008392334,28.04300022125244,14.172299183434712,10,10
NVZMF,0,34,500,44.729000091552734,68.4740005493164,53.08636546571943,10,10
NVZMY,0,34,500,44.68000030517578,68.85800018310547,54.11369676093957,10,10
NYCB,0,34,500,39.86099967956543,39.87299995422363,0.030105302813945106,10,10
OLED,0,34,500,174.08900146484376,172.11499786376953,-1.1339048328523318,10,10
OLN,0,34,500,18.601000022888183,49.32500114440918,165.17392120700868,10,10
OPST,0,34,500,18.460000038146973,18.309999465942383,-0.812570811996851,10,10
ORI,0,34,500,23.323999977111818,23.648999786376955,1.3934136922657512,10,10
OTCM,0,34,500,34.2569995880127,48.76700019836426,42.35630903130507,10,10
PANDY,0,34,500,11.185000038146972,31.106999969482423,178.1135437048773,10,10
PCRFF,0,34,500,8.283999919891357,12.026000022888184,45.17141645561365,10,10
PCTY,0,34,500,98.8979995727539,279.88599853515626,183.00471166685153,10,10
PEGX,0,34,500,180.35199890136718,350.0,94.06494085569393,10,10
PGENY,0,34,500,11.186000156402589,6.041999816894531,-45.98605638820557,10,10
PGZ,0,34,500,20.76900005340576,14.982999992370605,-27.85882828329211,10,10
PHD,0,34,500,10.427000141143798,11.454999923706055,9.859017633517448,10,10
PINC,0,34,500,33.40250015258789,38.6879997253418,15.823664541902282,10,10
PNDZF,0,34,500,45.38899917602539,129.14999389648438,184.5402988411822,10,10
PNFP,0,34,500,59.25200004577637,95.27699966430664,60.79963476456223,10,10
PRKS,0,34,500,27.45699996948242,58.167000198364256,111.84761723063343,10,10
PRTA,0,34,500,8.507000160217284,72.07300033569337,747.2199245127613,10,10
PSWW,0,34,500,0.26599999964237214,0.059200000390410366,-77.74436072556287,10,10
