security,block,model_proba,avg_price,avg_volume,position_size,binding_constraint,capital_cap,volume_cap,expected_return_pct,pnl,cumulative_equity
CTMX,10,0.6476508049243901,9.266125374278685,783280.3021148036,145159.4696519731,volume,50114075.56767619,145159.4696519731,-32.95387649536133,-47835.672350432724,1002233675.6811732
MAJI,9,0.6474068362466264,1.4524306152753388,18886.032928263427,548.6130485221591,volume,50111683.78405866,548.6130485221591,-84.4936752319336,-463.54332749832344,1002233212.1378456
VMHG,8,0.6464680473193003,0.08510419339874721,212139.58932076953,361.07937274171155,volume,50111660.60689229,361.07937274171155,-95.24098205566406,-343.89554059963785,1002232868.242305
GRNF,9,0.6463171361220357,1.4515387059293752,18948.846786833856,550.0996908762963,volume,50111643.41211525,550.0996908762963,-84.49669647216797,-464.81606609407834,1002232403.4262389
EGOC,9,0.6440547258762964,0.4990955495417004,23113.08845401174,230.7127916712184,volume,50111620.171311945,230.7127916712184,-99.98550415039062,-230.67934789190815,1002232172.746891
GBHPF,9,0.6437768184156377,0.03502769293794327,147113.13983548767,103.06067778588346,volume,50111608.637344554,103.06067778588346,52.314788818359375,53.915975938454736,1002232226.662867
LIQDQ,8,0.6436273561801498,0.03203439829561085,157193.04547236377,100.71169255923536,volume,50111611.33314335,100.71169255923536,-92.85714721679688,-93.51800462425705,1002232133.1448623
PHUN,8,0.6435724900348485,309.1437290425417,446035.55853658536,2757781.9170314576,volume,50111606.65724312,2757781.9170314576,-96.37189483642578,-2657726.6888995236,999574406.4559628
ZPAS,9,0.641994944619586,0.20433939446574287,47784.82993535554,195.2864642727811,volume,49978720.32279814,195.2864642727811,-99.47479248046876,-194.26080507779378,999574212.1951578
VYGVQ,11,0.6411334113461505,1.9192525104092564,267086.35086342227,10252.122987813413,volume,49978710.60975789,10252.122987813413,-9.090919494628906,-932.012247312461,999573280.1829104
AAPJ,8,0.6410305297948746,0.021016236401521168,6400675.929968701,2690.3623694749713,volume,49978664.00914553,2690.3623694749713,-98.27593231201172,-2643.9787011730573,999570636.2042093
BLFE,9,0.6404501379384754,0.2740654484567967,2353787.942488263,12901.838960604931,volume,49978531.81021047,12901.838960604931,-99.5106430053711,-12838.702909215453,999557797.5013001
COUV,10,0.6396418117494632,0.01870421123779008,728072.3189823874,272.3603690126851,volume,49977889.87506501,272.3603690126851,-87.95181274414062,-239.54588174328723,999557557.9554183
FSSN,9,0.6388736302982744,0.07722775636285037,179313.53823088456,276.9596448611082,volume,49977877.89777092,276.9596448611082,-88.8888931274414,-246.18636272673172,999557311.7690556
CRSM,9,0.6366423519315034,0.012150868903954852,673649.8140900196,163.70861156362773,volume,49977865.588452786,163.70861156362773,-51.88741683959961,-84.94416968434048,999557226.8248858
EVIO,8,0.6361065075369086,0.6324631790333225,23671916.58715237,299432.3123704405,volume,49977861.341244295,299432.3123704405,-82.60869598388672,-247357.12860361923,999309869.6962823
REFG,8,0.6354367192974926,0.02891413959067665,323783.0976087809,187.23819362723947,volume,49965493.484814115,187.23819362723947,-70.91093444824219,-132.77235274508456,999309736.9239296
GZIC,11,0.6353094267510269,0.6323887538614185,776379.1536050157,9819.468909445173,volume,49965486.84619648,9819.468909445173,0.0,0.0,999309736.9239296
APRU,11,0.632331270890048,0.004119546174992957,4643789.445226917,382.6061009311443,volume,49965486.84619648,382.6061009311443,-14.851479530334473,-56.82266676159974,999309680.1012628
FITSD,8,0.632216896644513,78.24447508880726,454.2120614899488,710.7916866057218,volume,49965484.00506315,710.7916866057218,-90.50979614257812,-643.3361065452316,999309036.7651563
FITSF,8,0.632216896644513,77.72395227106249,463.4334377447142,720.3975679216916,volume,49965451.83825782,720.3975679216916,-90.50979614257812,-652.0303701420138,999308384.7347862
EAPH,8,0.6319627225698453,0.006920536428362031,1873819.509788567,259.3567235533452,volume,49965419.23673931,259.3567235533452,-83.33332824707031,-216.13058976955588,999308168.6041964
PRTHU,9,0.6317536499351446,9.014343149151285,677.8107588856868,122.2003754156445,volume,49965408.43020982,122.2003754156445,167.0187530517578,204.09754324377627,999308372.7017397
RSCZF,8,0.6302954723263892,25.69603556931018,742.0078369905956,381.3331954403451,volume,49965418.63508698,381.3331954403451,-96.89348602294922,-369.48702642485637,999308003.2147132
LOTE,9,0.6301948272288516,0.1855271975956077,76311.80047040376,283.15828969498375,volume,49965400.16073567,283.15828969498375,-99.03846740722656,-280.43563045042663,999307722.7790828
COUV,8,0.6296274785943008,0.01870421123779008,728072.3189823874,272.3603690126851,volume,49965386.13895414,272.3603690126851,-98.7399673461914,-268.92853942709166,999307453.8505434
ACRL,9,0.6288763478747134,0.029778073184901332,4634330.955637708,2760.0289272006685,volume,49965372.692527175,2760.0289272006685,-74.68986511230469,-2061.4618827867694,999305392.3886606
BSPM,8,0.6287836810276058,1.5361737302723817,100273.50704225352,3080.7505472118505,volume,49965269.61943303,3080.7505472118505,0.0,0.0,999305392.3886606
GGII,10,0.625609661246798,0.0017236961656341265,19758300.676194206,681.1461423000425,volume,49965269.61943303,681.1461423000425,-66.88742065429688,-455.601085470745,999304936.7875751
GTVH,9,0.6249343582438988,0.0374510776028018,4137893.44984326,3099.371374044104,volume,49965246.83937876,3099.371374044104,-76.7685317993164,-2379.341898861958,999302557.4456763
ROYL,8,0.6246838788704735,0.34291415068608244,32298.696981575853,221.5136048740844,volume,49965127.87228382,221.5136048740844,-50.0,-110.7568024370422,999302446.6888739
CLAZF,9,0.6241086834533595,1.2491820157805464,7199.7,179.874715180304,volume,49965122.334443696,179.874715180304,-99.62369537353516,-179.19783830524008,999302267.4910356
ARYC,10,0.6236496295292272,0.015457023844009331,3016672.487289793,932.5755713121054,volume,49965113.37455178,932.5755713121054,0.0,0.0,999302267.4910356
MMEX,11,0.6227150377946085,3371.6455661308737,5670105.85893417,49965113.37455178,capital,49965113.37455178,382351745.57536167,-3.999995708465576,-1998602.390712031,997303665.1003236
CNNC,8,0.622476128869218,5.620479037861956,42893.87005870842,4821.681950354905,volume,49865183.25501618,4821.681950354905,-69.14633178710938,-3334.0161991115688,997300331.0841244
RECAF,8,0.6216552883488027,1.2169417506897977,218980.32810662486,5329.726077054048,volume,49865016.55420622,5329.726077054048,-86.46211242675781,-4608.1937527806995,997295722.8903717
DVLP,8,0.6216310732216743,0.004569599226913877,5678820.590670171,518.9986836181804,volume,49864786.144518584,518.9986836181804,-91.30547332763672,-473.8742046417834,997295249.016167
