Block_ID,Cluster_ID,Total_Securities,Top_Performers,Enrichment_Pct
1,20,166,2,1.2048192771084338
1,29,231,1,0.4329004329004329
1,31,83,0,0.0
1,62,136,1,0.7352941176470588
1,48,113,0,0.0
1,33,153,5,3.2679738562091507
1,41,257,1,0.38910505836575876
1,8,157,2,1.2738853503184715
1,38,411,4,0.9732360097323601
1,2,71,3,4.225352112676056
1,37,132,0,0.0
1,55,169,1,0.591715976331361
1,42,232,6,2.586206896551724
1,59,75,0,0.0
1,60,138,1,0.7246376811594203
1,11,143,2,1.3986013986013985
1,17,34,3,8.823529411764707
1,21,185,2,1.0810810810810811
1,26,179,1,0.5586592178770949
1,28,137,0,0.0
1,13,76,0,0.0
1,34,74,2,2.7027027027027026
1,4,58,2,3.4482758620689653
1,0,94,6,6.382978723404255
1,1,58,6,10.344827586206897
1,25,116,5,4.310344827586207
1,10,75,3,4.0
1,47,73,1,1.36986301369863
1,32,42,1,2.380952380952381
2,1,89,0,0.0
2,26,152,1,0.6578947368421052
2,40,89,1,1.1235955056179776
2,30,142,1,0.7042253521126761
2,0,316,1,0.31645569620253167
2,52,84,1,1.1904761904761905
2,46,8073,42,0.5202526941657376
2,36,272,2,0.7352941176470588
2,53,93,4,4.301075268817205
2,41,89,4,4.49438202247191
2,43,164,5,3.048780487804878
2,19,624,1,0.16025641025641024
2,48,82,3,3.6585365853658534
2,2,140,0,0.0
2,6,106,1,0.9433962264150944
2,12,244,6,2.459016393442623
2,25,273,0,0.0
2,9,221,4,1.809954751131222
2,57,95,6,6.315789473684211
2,17,202,2,0.9900990099009901
2,7,353,0,0.0
2,50,62,4,6.451612903225806
2,15,307,4,1.3029315960912053
2,21,505,7,1.3861386138613863
2,16,144,0,0.0
2,35,343,3,0.8746355685131195
2,31,258,0,0.0
2,24,368,2,0.5434782608695652
2,37,260,3,1.153846153846154
2,27,146,2,1.36986301369863
2,55,252,3,1.1904761904761905
2,51,119,1,0.8403361344537815
2,3,207,0,0.0
2,20,232,3,1.293103448275862
2,14,205,12,5.853658536585367
2,22,271,4,1.4760147601476015
2,28,143,2,1.3986013986013985
2,18,144,0,0.0
2,47,88,1,1.1363636363636365
2,13,92,3,3.260869565217391
2,56,68,2,2.941176470588235
2,49,120,11,9.166666666666666
2,34,160,0,0.0
2,29,100,3,3.0
2,4,165,0,0.0
2,11,200,3,1.5
2,54,145,2,1.3793103448275863
2,38,103,1,0.9708737864077669
2,45,151,5,3.3112582781456954
2,39,81,0,0.0
2,33,95,1,1.0526315789473684
2,32,70,3,4.285714285714286
2,23,153,1,0.6535947712418301
2,10,103,2,1.9417475728155338
2,42,121,1,0.8264462809917356
2,8,38,0,0.0
2,5,156,0,0.0
2,44,53,8,15.09433962264151
3,11,152,0,0.0
3,62,184,4,2.1739130434782608
3,50,7854,44,0.5602240896358543
3,24,174,0,0.0
3,43,175,2,1.1428571428571428
3,20,415,0,0.0
3,40,257,9,3.501945525291829
3,53,77,0,0.0
3,36,169,5,2.9585798816568047
3,61,117,0,0.0
3,46,104,6,5.769230769230769
3,23,65,0,0.0
3,17,461,0,0.0
3,16,240,3,1.25
3,31,237,1,0.42194092827004215
3,33,271,4,1.4760147601476015
3,7,74,1,1.3513513513513513
3,12,131,3,2.2900763358778624
3,3,284,6,2.112676056338028
3,6,200,2,1.0
3,18,611,5,0.8183306055646482
