Block_ID,Cluster_ID,Security,Cluster_Size
6,40,ELVA,228
6,40,EMFGF,228
6,40,EMP,228
6,40,ENCR,228
6,40,ENO,228
6,40,ENZ,228
6,40,ENZN,228
6,40,EOSC,228
6,40,EPR,228
6,40,ESS,228
6,40,ETR,228
6,40,EVOTF,228
6,40,FCGY,228
6,40,FCPB,228
6,40,FCSMF,228
6,40,FEXXF,228
6,40,FGF,228
6,40,FLOD,228
6,40,FMCC,228
6,40,FNEC,228
6,40,FNMA,228
6,40,FTBYF,228
6,40,FTDL,228
6,40,FUGI,228
6,40,FXRVF,228
6,40,GAFL,228
6,40,GBDC,228
6,40,GBEI,228
6,40,GCTK,228
6,40,GDVTZ,228
6,40,GKSDF,228
6,40,GLAPF,228
6,40,GNCAQ,228
6,40,GNGBY,228
6,40,GNGR,228
6,40,GNHRF,228
6,40,GPMTF,228
6,40,GPRO,228
6,40,GRGSF,228
6,40,GULRF,228
6,40,GVHIB,228
6,40,HALFF,228
6,40,HDYNQ,228
6,40,HLCN,228
6,40,HMMR,228
6,40,HMRZF,228
6,40,HMTXF,228
6,40,HNNMY,228
6,40,HYEG,228
6,40,IBSS,228
6,40,ICGL,228
6,40,ICHBF,228
6,40,IFAM,228
6,40,INTV,228
6,40,IOOFF,228
6,40,IQEPF,228
6,40,IQGLF,228
6,40,ITNF,228
6,40,ITUP,228
6,40,JRVR,228
6,40,KAST,228
6,40,KTBA,228
6,40,KW,228
6,40,LFMD,228
6,40,LFVN,228
6,40,LHUAF,228
6,40,LILAB,228
6,40,LTC,228
6,40,LVNSF,228
6,40,MAGE,228
6,40,MALG,228
6,40,MHLA,228
6,40,MHRE,228
6,40,MKGP,228
6,40,MLHC,228
6,40,MMEX,228
6,40,MOHCY,228
6,40,MRPI,228
6,40,NAHD,228
6,40,NEGXF,228
6,40,NEON,228
6,40,NHLG,228
6,40,NISN,228
6,40,NJR,228
6,40,NKWFF,228
6,40,NUFMF,228
6,40,NXSI,228
6,40,OESX,228
6,40,OEZVF,228
6,40,OFED,228
6,40,OGE,228
6,40,OGEN,228
6,40,OGS,228
6,40,ORC,228
6,40,OUTKY,228
6,40,PBLA,228
6,40,PCG,228
6,40,PHRZF,228
6,40,PMMCF,228
6,40,PNNT,228
6,40,POR,228
6,40,PRTG,228
6,40,PRVCF,228
6,40,PSUD,228
6,40,PTLF,228
6,40,PTLKF,228
6,40,PWCO,228
6,40,QEXXF,228
6,40,QZMRF,228
6,40,RDFED,228
6,40,RDFEF,228
6,40,RDRIF,228
6,40,RDVA,228
6,40,RKIGF,228
6,40,RMTI,228
6,40,ROSN,228
6,40,RPFG,228
6,40,RPNMF,228
6,40,RSRBF,228
6,40,RWCI,228
6,40,SAKL,228
6,40,SASBQ,228
6,40,SEAN,228
6,40,SEIGY,228
6,40,SFBE,228
6,40,SGGTF,228
6,40,SKVY,228
6,40,SNEGF,228
6,40,SNIOF,228
6,40,SNNHF,228
6,40,SO,228
6,40,SPNT,228
6,40,SRE,228
6,40,SRVTF,228
6,40,STGW,228
6,40,SVSE,228
6,40,SWDHF,228
6,40,SWPFF,228
6,40,TKVR,228
6,40,TLOG,228
6,40,UMAV,228
6,40,UMEWF,228
6,40,UNAM,228
6,40,URPLF,228
6,40,USBC,228
6,40,UTL,228
6,40,VIEWF,228
6,40,VRUS,228
6,40,VSMD,228
6,40,WARFY,228
6,40,WORX,228
6,40,XEPRF,228
6,40,XFTB,228
6,40,YRIV,228
6,40,YTRA,228
6,40,ZGSI,228
6,40,ZHEXF,228
6,40,ZOM,228
6,40,ZPHRF,228
6,38,ACRS,401
6,38,AEPT,401
6,38,AEYGQ,401
6,38,AFLYY,401
6,38,AFOM,401
6,38,AFTM,401
6,38,AGFMF,401
6,38,AGI,401
6,38,AGLXY,401
6,38,AGRO,401
6,38,AIVN,401
6,38,AKBA,401
6,38,AKEMF,401
6,38,ALTO,401
6,38,ANDC,401
6,38,AOCIF,401
6,38,AOLS,401
6,38,APELY,401
6,38,APT,401
6,38,ARCT,401
6,38,ARCXF,401
6,38,ATGFF,401
6,38,ATNM,401
6,38,ATRX,401
6,38,AUDAQ,401
6,38,AVGR,401
6,38,AWRE,401
6,38,AXL,401
6,38,AXREF,401
6,38,AXTI,401
6,38,AYTU,401
6,38,AZTEF,401
6,38,BADFF,401
6,38,BCDMF,401
6,38,BCE,401
6,38,BEP,401
6,38,BERY,401
6,38,BGOPF,401
6,38,BGUUF,401
6,38,BIT,401
6,38,BJCHF,401
6,38,BJCHY,401
6,38,BKD,401
6,38,BLRX,401
6,38,BLW,401
6,38,BPMUF,401
6,38,BPZZF,401
6,38,BRBMF,401
6,38,BRVO,401
6,38,BSEM,401
6,38,BSET,401
6,38,BTTC,401
6,38,BUI,401
6,38,BZH,401
6,38,CAMG,401
6,38,CANOF,401
6,38,CAPL,401
6,38,CBBLF,401
6,38,CCK,401
6,38,CDNS,401
6,38,CDTI,401
6,38,CDUAF,401
6,38,CEIN,401
6,38,CELV,401
6,38,CEPU,401
6,38,CEVA,401
6,38,CFEGF,401
6,38,CFRLF,401
6,38,CGAC,401
6,38,CGIFF,401
6,38,CGIP,401
6,38,CGNX,401
6,38,CHPGF,401
6,38,CKGDF,401
6,38,CLGN,401
6,38,CLKXF,401
6,38,CLPR,401
